Company Name,CIK,NAIC Code,Ticker,Company Type,monitoring_status,notes,discovered_date,discovery_source,edgar_match_score
AEGON LTD.,0000769218,,AEFC,Carrier,pending,Life Insurance,2026-07-10,EDGAR SIC 6311 sweep [AEFC],100
AFLAC INC,0000004977,,AFL,Carrier,pending,Accident & Health Insurance,2026-07-10,EDGAR SIC 6321 sweep [AFL],100
AIFU Inc.,0001413855,,AIFU,MGA/Broker,pending,"Insurance Agents, Brokers & Services",2026-07-10,EDGAR SIC 6411 sweep [AIFU],100
ALLSTATE CORP,0000899051,,ALL-PJ,Carrier,pending,"Fire, Marine & Casualty Insurance",2026-07-10,EDGAR SIC 6331 sweep [ALL-PJ],100
AMERICAN COASTAL INSURANCE Corp,0001401521,,ACIC,Carrier,pending,"Fire, Marine & Casualty Insurance",2026-07-10,EDGAR SIC 6331 sweep [ACIC],100
AMERICAN FINANCIAL GROUP INC,0001042046,,AFGE,Carrier,pending,"Fire, Marine & Casualty Insurance",2026-07-10,EDGAR SIC 6331 sweep [AFGE],100
AMERISAFE INC,0001018979,,AMSF,Carrier,pending,"Fire, Marine & Casualty Insurance",2026-07-10,EDGAR SIC 6331 sweep [AMSF],100
ARCH CAPITAL GROUP LTD.,0000947484,,ACGLO,Carrier,pending,"Fire, Marine & Casualty Insurance",2026-07-10,EDGAR SIC 6331 sweep [ACGLO],100
ASPEN INSURANCE HOLDINGS LTD,0001267395,,AHL-PF,Carrier,pending,"Fire, Marine & Casualty Insurance",2026-07-10,EDGAR SIC 6331 sweep [AHL-PF],100
ASSURED GUARANTY LTD,0001273813,,AGO,Carrier,pending,Surety Insurance,2026-07-10,EDGAR SIC 6351 sweep [AGO],100
ATLANTIC AMERICAN CORP,0000008177,,AAME,Carrier,pending,Life Insurance,2026-07-10,EDGAR SIC 6311 sweep [AAME],100
AXIS CAPITAL HOLDINGS LTD,0001214816,,AXS-PE,Carrier,pending,"Fire, Marine & Casualty Insurance",2026-07-10,EDGAR SIC 6331 sweep [AXS-PE],100
Accelerant Holdings,0001997350,,ARX,MGA/Broker,pending,"Insurance Agents, Brokers & Services",2026-07-10,EDGAR SIC 6411 sweep [ARX],100
"American Integrity Insurance Group, Inc.",0002007587,,AII,Carrier,pending,"Fire, Marine & Casualty Insurance",2026-07-10,EDGAR SIC 6331 sweep [AII],100
American National Group Inc.,0001039828,,ANG-PD,Carrier,pending,Life Insurance,2026-07-10,EDGAR SIC 6311 sweep [ANG-PD],100
Aon plc,0000315293,,AON,MGA/Broker,pending,"Insurance Agents, Brokers & Services",2026-07-10,EDGAR SIC 6411 sweep [AON],100
"Apple iSports Group, Inc.",0001134982,,AAPI,MGA/Broker,pending,"Insurance Agents, Brokers & Services",2026-07-10,EDGAR SIC 6411 sweep [AAPI],100
Arthur J. Gallagher & Co.,0000354190,,AJG,MGA/Broker,pending,"Insurance Agents, Brokers & Services",2026-07-10,EDGAR SIC 6411 sweep [AJG],100
Ategrity Specialty Insurance Co Holdings,0002040491,,ASIC,Carrier,pending,"Fire, Marine & Casualty Insurance",2026-07-10,EDGAR SIC 6331 sweep [ASIC],100
Athene Holding Ltd.,0001527469,,ATHS,Carrier,pending,Life Insurance,2026-07-10,EDGAR SIC 6311 sweep [ATHS],100
BERKSHIRE HATHAWAY INC,0001067983,,BRK-A,Carrier,pending,"Fire, Marine & Casualty Insurance",2026-07-10,EDGAR SIC 6331 sweep [BRK-A],100
"BROWN & BROWN, INC.",0000079282,,BRO,MGA/Broker,pending,"Insurance Agents, Brokers & Services",2026-07-10,EDGAR SIC 6411 sweep [BRO],100
"Baldwin Insurance Group, Inc.",0001781755,,BWIN,MGA/Broker,pending,"Insurance Agents, Brokers & Services",2026-07-10,EDGAR SIC 6411 sweep [BWIN],100
Bowhead Specialty Holdings Inc.,0002002473,,BOW,Carrier,pending,"Fire, Marine & Casualty Insurance",2026-07-10,EDGAR SIC 6331 sweep [BOW],100
"Brighthouse Financial, Inc.",0001685040,,BHFAP,Carrier,pending,Life Insurance,2026-07-10,EDGAR SIC 6311 sweep [BHFAP],100
Brookfield Wealth Solutions Ltd.,0001837429,,BNT,Carrier,pending,Insurance Carriers NEC,2026-07-10,EDGAR SIC 6399 sweep [BNT],100
