Company Name,CIK,NAIC Code,Ticker,Company Type,monitoring_status,notes,hq_city,hq_state,northeast_hq,northeast_jobs,tech_jobs_ne,verdict,qualification_notes
ARCH CAPITAL GROUP LTD.,0000947484,,ACGLO,Carrier,active,"Fire, Marine & Casualty Insurance",Pembroke,D0,N,22,4,Recommend,4 tech role(s) in NE (HQ D0)
Ategrity Specialty Insurance Co Holdings,0002040491,,ASIC,Carrier,active,"Fire, Marine & Casualty Insurance",New York,NY,Y,0,0,Recommend,NE HQ (NY); no NE tech postings on Adzuna
Bowhead Specialty Holdings Inc.,0002002473,,BOW,Carrier,active,"Fire, Marine & Casualty Insurance",New York,NY,Y,0,0,Recommend,NE HQ (NY); no NE tech postings on Adzuna
ERIE INDEMNITY CO,0000922621,,ERIE,MGA/Broker,active,"Insurance Agents, Brokers & Services",Erie,PA,Y,0,0,Recommend,NE HQ (PA); no NE tech postings on Adzuna
"Equitable Holdings, Inc.",0001333986,,EQH-PC,MGA/Broker,active,"Insurance Agents, Brokers & Services",New York,NY,Y,0,0,Recommend,NE HQ (NY); no NE tech postings on Adzuna
Kepler Group Ltd,0002000208,,KPL,MGA/Broker,active,"Insurance Agents, Brokers & Services","Harbour City, Tsim Sha Tsui",K3,N,34,4,Recommend,4 tech role(s) in NE (HQ K3)
"MARSH & MCLENNAN COMPANIES, INC.",0000062709,,MRSH,MGA/Broker,active,"Insurance Agents, Brokers & Services",New York,NY,Y,2,0,Recommend,NE HQ (NY); no NE tech postings on Adzuna
MBIA INC,0000814585,,MBI,Carrier,active,Surety Insurance,Purchase,NY,Y,0,0,Recommend,NE HQ (NY); no NE tech postings on Adzuna
OCTAVE SPECIALTY GROUP INC,0000874501,,OSG,Carrier,active,Surety Insurance,New York,NY,Y,0,0,Recommend,NE HQ (NY); no NE tech postings on Adzuna
RADIAN GROUP INC,0000890926,,RDN,Carrier,active,Surety Insurance,Wayne,PA,Y,9,1,Recommend,NE HQ (PA) + 1 tech role(s) in NE
"Reliance Global Group, Inc.",0001812727,,EZRA,MGA/Broker,active,"Insurance Agents, Brokers & Services",Lakewood,NJ,Y,0,0,Recommend,NE HQ (NJ); no NE tech postings on Adzuna
AFLAC INC,0000004977,,AFL,Carrier,active,Accident & Health Insurance,Columbus,GA,N,5,0,Review,5 job(s) in NE (no tech titles); HQ GA
