article_title,article_url,feed_name,article_published,trigger_keywords,extracted_firm_name,known_firm,cik,suggested_action
Tech Update: Mosaic Launches AI-Enabled Digital Underwriting System for SMEs,https://www.insurancejournal.com/news/international/2026/09/21/886203.htm,Insurance Journal,2026-09-21,"AI, launches",Enabled Digital Underwriting,No,,Review for seed list
Risk & Insurance Education Alliance Launches Self-Paced CIC Personal Lines Course,https://www.insurancejournal.com/blogs/risk-insurance-education-alliance/2026/09/21/885710.htm,Insurance Journal,2026-09-21,launches,,No,,Review for seed list
"Trump Says He Will Appoint a New AI Adviser, Without Providing Details",https://www.insurancejournal.com/news/national/2026/09/21/886102.htm,Insurance Journal,2026-09-21,"president, AI, artificial intelligence",,No,,Review for seed list
Gemini Hacked Three Companies in First Known Breakout by Google’s AI,https://www.insurancejournal.com/news/national/2026/09/21/886094.htm,Insurance Journal,2026-09-21,AI,,No,,Review for seed list
Gavin Newsom Visits South Carolina During Tour of Southern States,https://www.insurancejournal.com/news/west/2026/09/21/886072.htm,Insurance Journal,2026-09-21,artificial intelligence,,No,,Review for seed list
New Hampshire Approves 2.9% Workers’ Compensation Rate Cut for 2027,https://www.insurancejournal.com/magazines/mag-features/2026/09/21/885536.htm,Insurance Journal,2026-09-21,approved,,No,,Review for seed list
Agency Networks: Finding New Pathways for Growth,https://www.insurancejournal.com/magazines/mag-features/2026/09/21/885532.htm,Insurance Journal,2026-09-21,partnership,,No,,Review for seed list
AI Feelings,https://www.insurancejournal.com/magazines/mag-editorsnote/2026/09/21/885531.htm,Insurance Journal,2026-09-21,"AI, data analytics",,No,,Review for seed list
Maximizing Marketing Value From All Sides,https://www.insurancejournal.com/magazines/mag-features/2026/09/21/885530.htm,Insurance Journal,2026-09-21,launches,,No,,Review for seed list
First-Half US P/C Industry Underwriting Gain Jumps to $31.7B,https://www.insurancejournal.com/magazines/mag-features/2026/09/21/885528.htm,Insurance Journal,2026-09-21,data analytics,,No,,Review for seed list
Business Moves,https://www.insurancejournal.com/magazines/mag-business-moves/2026/09/21/885520.htm,Insurance Journal,2026-09-21,private equity,,No,,Review for seed list
"Deploying ILS capital into cyber, AI, data centres requires right fund structures: Albertini, Leadenhall",https://www.artemis.bm/news/deploying-ils-capital-into-cyber-ai-data-centres-requires-right-fund-structures-albertini-leadenhall/?utm_source=rss&utm_medium=rss&utm_campaign=deploying-ils-capital-into-cyber-ai-data-centres-requires-right-fund-structures-albertini-leadenhall,Artemis,2026-09-21,"AI, artificial intelligence",,No,,Review for seed list
Tower grows first-event catastrophe reinsurance limit to NZ $970m at reduced cost,https://www.artemis.bm/news/tower-grows-first-event-catastrophe-reinsurance-limit-to-nz-970m-at-reduced-cost/?utm_source=rss&utm_medium=rss&utm_campaign=tower-grows-first-event-catastrophe-reinsurance-limit-to-nz-970m-at-reduced-cost,Artemis,2026-09-21,reinsurance,,No,,Review for seed list
"Best of Artemis, week ending September 20th 2026",https://www.artemis.bm/news/best-of-artemis-week-ending-september-20th-2026/?utm_source=rss&utm_medium=rss&utm_campaign=best-of-artemis-week-ending-september-20th-2026,Artemis,2026-09-21,reinsurance,,No,,Review for seed list
Human judgement to remain fundamental for successful trading in London market: LIIBA,https://www.reinsurancene.ws/human-judgement-to-remain-fundamental-for-successful-trading-in-london-market-liiba/,Reinsurance News,2026-09-21,"reinsurance, artificial intelligence",,No,,Review for seed list
Oneglobal Broking acquires Fraction Brokers’ digital asset client portfolio,https://www.reinsurancene.ws/oneglobal-broking-acquires-fraction-brokers-digital-asset-client-portfolio/,Reinsurance News,2026-09-21,"acquires, reinsurance",Fraction Brokers,No,,Review for seed list
New Lloyd’s coverholder MGA Alpha enters market with AXA XL and Probitas capacity,https://www.reinsurancene.ws/new-lloyds-coverholder-mga-alpha-enters-market-with-axa-xl-and-probitas-capacity/,Reinsurance News,2026-09-21,"MGA, managing general, reinsurance, enters",,No,,Review for seed list
Stuart Dale joins Envelop Risk as global head of casualty,https://www.reinsurancene.ws/stuart-dale-joins-envelop-risk-as-global-head-of-casualty/,Reinsurance News,2026-09-21,"appointed, reinsurance",,No,,Review for seed list
Canopius bolsters APAC leadership team,https://www.reinsurancene.ws/canopius-bolsters-apac-leadership-team/,Reinsurance News,2026-09-21,"appointed, reinsurance",,No,,Review for seed list
Mosaic Insurance introduces HALO digital platform for SME specialty underwriting,https://www.reinsurancene.ws/mosaic-insurance-introduces-halo-digital-platform-for-sme-specialty-underwriting/,Reinsurance News,2026-09-21,"reinsurance, AI",Mosaic Insurance,No,,Review for seed list
"Iberian storm losses put reinsurance risk in focus, Marsh Re reports",https://www.reinsurancene.ws/iberian-storm-losses-put-reinsurance-risk-in-focus-marsh-re-reports/,Reinsurance News,2026-09-21,reinsurance,Marsh Re,No,,Review for seed list
SiriusPoint names Rachel Winoski as Chief Human Resources Officer,https://www.reinsurancene.ws/siriuspoint-names-rachel-winoski-as-chief-human-resources-officer/,Reinsurance News,2026-09-21,"appointed, names, chief executive, reinsurance",,No,,Review for seed list
Solomon Islands receives $2m from PCRIC as excess rainfall triggers parametric policy,https://www.reinsurancene.ws/solomon-islands-receives-2m-from-pcric-as-excess-rainfall-triggers-parametric-policy/,Reinsurance News,2026-09-21,"reinsurance, parametric",,No,,Review for seed list
Insurer-backed Jump launches real-time account opening,https://coverager.com/insurer-backed-jump-launches-real-time-account-opening/,Coverager,2026-09-20,launches,,No,,Review for seed list
Instinct shops renters insurance,https://coverager.com/instinct-shops-renters-insurance/,Coverager,2026-09-20,enters,,No,,Review for seed list
Angle Health raises $200 million,https://coverager.com/angle-health-raises-200-million/,Coverager,2026-09-20,raises,,No,,Review for seed list
Is the AI industry really ready to slow down?,https://techcrunch.com/2026/09/20/is-the-ai-industry-really-ready-to-slow-down/,TechCrunch,2026-09-20,AI,,No,,Review for seed list
TechCrunch Mobility: How do we know when an AV is safe enough?,https://techcrunch.com/2026/09/20/techcrunch-mobility-how-do-we-know-when-an-av-is-safe-enough/,TechCrunch,2026-09-20,AI,,No,,Review for seed list
Brown & Riding launches agribusiness practice,https://coverager.com/brown-riding-launches-agribusiness-practice/,Coverager,2026-09-19,launches,,No,,Review for seed list
Flock reportedly tries to shrink workforce with employee buyouts,https://techcrunch.com/2026/09/19/flock-reportedly-tries-to-shrink-workforce-with-employee-buyouts/,TechCrunch,2026-09-19,buyout,,No,,Review for seed list
Trump says it’s time to rebrand AI with a new name — and he’s also creating an AI Force,https://techcrunch.com/2026/09/19/trump-suggests-rebranding-ai-with-a-new-name-says-hes-also-creating-an-ai-force/,TechCrunch,2026-09-19,AI,,No,,Review for seed list
Google’s Gemini is the latest AI model to hack other companies,https://techcrunch.com/2026/09/19/googles-gemini-is-the-latest-ai-model-to-hack-other-companies/,TechCrunch,2026-09-19,AI,,No,,Review for seed list
The US Navy just told us what’s on its tech wish list for the next several years,https://techcrunch.com/2026/09/19/even-mid-sprint-to-a-secret-flight-the-navys-tech-chief-had-a-pitch-for-investors/,TechCrunch,2026-09-19,"buys, AI",,No,,Review for seed list
Petlibro’s new AI-powered feeder is a game changer for multi-cat homes,https://techcrunch.com/2026/09/19/petlibros-new-ai-powered-feeder-is-a-game-changer-for-multi-cat-homes/,TechCrunch,2026-09-19,AI,,No,,Review for seed list
AI safety conversations have gotten unbelievable,https://techcrunch.com/2026/09/19/ai-safety-conversations-have-gotten-unbelievable/,TechCrunch,2026-09-19,AI,,No,,Review for seed list
"Vals, backed by Andreessen Horowitz, is looking to become the gold standard for AI benchmarking",https://techcrunch.com/2026/09/19/vals-backed-by-andreessen-horowitz-is-looking-to-become-the-gold-standard-for-ai-benchmarking/,TechCrunch,2026-09-19,"backed by, AI",,No,,Review for seed list
Tilly Norwood’s press tour is going about as well as you’d expect for an AI,https://techcrunch.com/2026/09/18/tilly-norwoods-press-tour-is-going-about-as-well-as-youd-expect-for-an-ai/,TechCrunch,2026-09-19,AI,,No,,Review for seed list
Benefits renewal automation for insurance agencies gets an upgrade in Applied Epic,https://coverager.com/benefits-renewal-automation-for-insurance-agencies-gets-an-upgrade-in-applied-epic/,Coverager,2026-09-18,automation,,No,,Review for seed list
Sword to acquire Headspace,https://coverager.com/sword-to-acquire-headspace/,Coverager,2026-09-18,funding round,,No,,Review for seed list
Gallagher acquires Innovise Business Consultants,https://coverager.com/gallagher-acquires-innovise-business-consultants/,Coverager,2026-09-18,acquires,,No,,Review for seed list
Ayble Health raises $16 million,https://coverager.com/ayble-health-raises-16-million/,Coverager,2026-09-18,raises,,No,,Review for seed list
Casualty sidecars require discipline on both sides as asset risk grows: Ledger,https://www.artemis.bm/news/casualty-sidecars-require-discipline-on-both-sides-as-asset-risk-grows-ledger/?utm_source=rss&utm_medium=rss&utm_campaign=casualty-sidecars-require-discipline-on-both-sides-as-asset-risk-grows-ledger,Artemis,2026-09-18,insurtech,,No,,Review for seed list
Moody’s launches Risk InvestorIQ to support ILS transaction and portfolio evaluation,https://www.artemis.bm/news/moodys-launches-risk-investoriq-to-support-ils-transaction-and-portfolio-evaluation/?utm_source=rss&utm_medium=rss&utm_campaign=moodys-launches-risk-investoriq-to-support-ils-transaction-and-portfolio-evaluation,Artemis,2026-09-18,launches,,No,,Review for seed list
"Swiss Re supporting clients by creating risk awareness, prevention and transfer: Urs Baertschi",https://www.artemis.bm/news/swiss-re-supporting-clients-by-creating-risk-awareness-prevention-and-transfer-urs-baertschi/?utm_source=rss&utm_medium=rss&utm_campaign=swiss-re-supporting-clients-by-creating-risk-awareness-prevention-and-transfer-urs-baertschi,Artemis,2026-09-18,"chief executive, reinsurance",Swiss Re,No,,Review for seed list
