change_type,company_number,company_name,job_title,job_location,salary_min,salary_max,posted_date,date_detected,company_type,monitoring_status
New Posting,0000005272,AIG (American International Group),Mass Tort and Complex Casualty - Complex Claims Director,"Jersey City, Hudson County",104600,127600,2026-06-12,2026-07-08,Carrier,active
New Posting,0000005272,AIG (American International Group),Mass Tort and Complex Casualty - Claims Adjuster,"Jersey City, Hudson County",56000,89000,2026-06-17,2026-07-08,Carrier,active
New Posting,0000005272,AIG (American International Group),Senior Claims Adjuster - Casualty Coverage and Mass Tort,"Jersey City, Hudson County",86000,106000,2026-05-07,2026-07-08,Carrier,active
New Posting,0000005272,AIG (American International Group),Data Engineering Senior Associate,"Jersey City, Hudson County",96000,120000,2026-06-11,2026-07-08,Carrier,active
New Posting,0000005272,AIG (American International Group),"VP, Enterprise Architecture - Modernization","Jersey City, Hudson County",126000,171000,2026-04-19,2026-07-08,Carrier,active
New Posting,0000005272,AIG (American International Group),Technical Solutioning Engineer,"Jersey City, Hudson County",154458.02,154458.02,2026-07-01,2026-07-08,Carrier,active
New Posting,0000005272,AIG (American International Group),Mass Tort and Complex Casualty - Senior Adjuster,"Jersey City, Hudson County",76000,100000,2026-06-06,2026-07-08,Carrier,active
New Posting,0000005272,AIG (American International Group),Lead Business Analyst: Data Office - Actuarial Data & Tools,"Jersey City, Hudson County",130000,160000,2026-07-05,2026-07-08,Carrier,active
New Posting,0000005272,AIG (American International Group),"Director, Head of Compute Engineering","Jersey City, Hudson County",139000,175000,2026-05-16,2026-07-08,Carrier,active
New Posting,0000005272,AIG (American International Group),"Vice President, Principal Solutions Architect, GenAI","Jersey City, Hudson County",261248,,2026-07-05,2026-07-08,Carrier,active
New Posting,0000005272,AIG (American International Group),Senior Claims Analyst Severity,"Jersey City, Hudson County",72500,96700,2026-05-15,2026-07-08,Carrier,active
Disappeared - Short-lived,0000896159,Chubb Limited,Claims Transformation Product Owner,"Jersey City, Hudson County",105000.0,145000.0,2026-05-22,2026-07-08,Carrier,active
